selected_index,symbol,state,detail,price_history_rows,data_timestamp,provider,provider_error,avg_dollar_volume,market_cap,final_score
377,MTVA,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,151631.6745,,
378,SCZM,filtered_liquidity,average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,4636352.333536601,,
379,MXC,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,103072.88602528573,,
380,NGVT,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,15798139.439879227,,
381,DKS,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,22892907.05,19652966400.0,66.13
382,UNCY,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,5731180.670740008,,
383,MNTK,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,16918.501750000003,,
384,BJ,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,243541577.81,11437411328.0,43.46
385,WHG,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,221156.32233467101,,
386,QURE,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,43708712.72,1668765568.0,24.02
387,DGICB,filtered_liquidity,fallback average dollar volume below minimum 20000000,500,2026-06-08T00:00:00,yfinance,,9778.450031280518,,
388,ASIC,filtered_liquidity,fallback average dollar volume below minimum 20000000,250,2026-06-09T00:00:00,yfinance,,1321452.1904755593,,
389,CINF,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,101098566.7,25342328832.0,65.44
390,BZAI,filtered_liquidity,price below minimum 5.0,352,2026-06-09T04:00:00+00:00,alpaca,,367853.8615,,
391,OPTH,provider_partial,missing or insufficient price history after fallback,14,2026-06-09T00:00:00,yfinance,,,,
392,TCBK,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,5543349.15124321,,
393,NOG,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,64152849.64,2256183296.0,33.34
394,BCHT,filtered_liquidity,price below minimum 5.0,501,2026-06-09T00:00:00,yfinance,,237481.02977277042,,
395,COPL,filtered_liquidity,fallback average dollar volume below minimum 20000000,257,2026-06-09T00:00:00,yfinance,,237731.7975215912,,
396,STRL,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,33607149.23,25837881344.0,53.03
397,BKTI,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,3751054.0681030275,,
398,IBN,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,193449191.05,94260805632.0,55.24
399,TRMB,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,162102045.19,12343255040.0,46.25
400,PCRX,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,10319039.852703094,,
401,UBS,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,107511500.02,156875751424.0,76.32
402,ALM,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,92251656.96,4531357696.0,16.27
403,GRC,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,8314293.939418793,,
404,SSBI,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,59423.888041973114,,
405,BKKT,filtered_market_cap,market cap below minimum 1000000000 or unavailable,501,2026-06-09T00:00:00,yfinance,,24896968.14796567,344243296.0,
406,VACI,provider_partial,missing or insufficient price history after fallback,137,2026-06-09T00:00:00,yfinance,,,,
407,ELVN,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,32839823.61,2199277568.0,31.34
408,WYNN,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,140808575.59,11150845952.0,66.03
409,RAVE,filtered_liquidity,price below minimum 5.0,505,2026-06-08T04:00:00+00:00,alpaca,,6251.6085,,
410,MAGN,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,3920716.561074448,,
411,CWAN,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,60958852.63,7268189696.0,64.7
412,CLBR,filtered_liquidity,average dollar volume below minimum 20000000,505,2026-06-08T04:00:00+00:00,alpaca,,1150.9379999999999,,
413,MGRC,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,17236773.652648926,,
414,ICUI,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,40316332.28,3549089024.0,65.97
415,IKT,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,89102.88225,,
416,LAWR,filtered_liquidity,price below minimum 5.0,225,2026-06-08T04:00:00+00:00,alpaca,,0.0,,
417,BRUN,ranked,ranked and included in full_ranking.csv,361,2026-06-09T00:00:00,yfinance,,73036769.68,1790645760.0,37.66
418,EQT,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,22402571.14,32956436480.0,53.57
419,LTH,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,87174677.14,7261301248.0,68.37
420,DLX,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,11157086.52010994,,
421,BATRA,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,2390925.2111915587,,
422,COR,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,29699322.67,54393434112.0,47.84
423,DG,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,26197799.86,24127766528.0,46.92
424,INTJ,filtered_liquidity,fallback price below minimum 5.0,501,2026-06-09T00:00:00,yfinance,,26301.809865951538,,
425,SI,provider_partial,missing or insufficient price history after fallback,216,2026-06-09T00:00:00,yfinance,,,,
426,WBUY,filtered_liquidity,price below minimum 5.0,273,2026-06-09T04:00:00+00:00,alpaca,,909.69722,,
427,CRVS,filtered_market_cap,market cap below minimum 1000000000 or unavailable,501,2026-06-09T00:00:00,yfinance,,23953469.728811644,939290048.0,
428,NN,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,61527837.38,2847439104.0,34.79
429,CELC,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,188684864.12,4515270656.0,15.24
430,AKA,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,61061.86011295319,,
431,TECH,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,150111817.59,8518905856.0,58.07
432,SUMA,provider_partial,missing or insufficient price history after fallback,36,2026-06-09T00:00:00,yfinance,,,,
433,DTIL,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,2612223.502076745,,
434,HBAN,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,21083902.74,34096336896.0,71.52
435,EXPD,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,187442176.27,21755797504.0,76.84
436,FVR,filtered_liquidity,fallback average dollar volume below minimum 20000000,422,2026-06-09T00:00:00,yfinance,,2337804.6012607575,,
437,HLT,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,25361052.73,77985505280.0,76.64
438,CVM,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,16358.486500000003,,
439,RHLD,ranked,ranked and included in full_ranking.csv,325,2026-06-09T00:00:00,yfinance,,21495397.0,1008481344.0,31.95
440,KINS,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,1776558.2398222922,,
441,INGM,ranked,ranked and included in full_ranking.csv,406,2026-06-09T00:00:00,yfinance,,34511265.0,6712851456.0,70.49
442,BGMS,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,20915.705625000002,,
